Dataset,Revised,VTE,Drain,Original
Android,27146,28254,28325,277077
Apache,6665,6670,6231,169240
BGL,48214,48747,45041,315151
Hadoop,24796,25245,20527,382949
HDFS,47202,50898,47056,285848
HealthApp,14854,15253,15048,185457
HPC,23995,23975,24000,149178
Linux,19172,20116,20108,214486
Mac,65594,71317,55243,317415
OpenSSH,11315,16825,11264,223217
OpenStack,54835,52974,56593,593120
Proxifier,21572,18921,20841,236962
Spark,10249,10150,10635,194268
Windows,12245,13084,11888,283434
Zookeeper,23189,23086,22607,277892
